Month,Shampoo Sales
1/1/1995,266
2/1/1995,145.9
3/1/1995,183.1
4/1/1995,119.3
5/1/1995,180.3
6/1/1995,168.5
7/1/1995,231.8
8/1/1995,224.5
9/1/1995,192.8
10/1/1995,122.9
11/1/1995,336.5
12/1/1995,185.9
1/1/1996,194.3
2/1/1996,149.5
3/1/1996,210.1
4/1/1996,273.3
5/1/1996,191.4
6/1/1996,287
7/1/1996,226
8/1/1996,303.6
9/1/1996,289.9
10/1/1996,421.6
11/1/1996,264.5
12/1/1996,342.3
1/1/1997,339.7
2/1/1997,440.4
3/1/1997,315.9
4/1/1997,439.3
5/1/1997,401.3
6/1/1997,437.4
7/1/1997,575.5
8/1/1997,407.6
9/1/1997,682
10/1/1997,475.3
11/1/1997,581.3
12/1/1997,646.9
